Panel 1.1,Location,On Plan,Installed,,,Panel 1.3,Location,On Plan,Installed,,,Legende,
CONVEYOR COOLING FAN F10-CCF-14-1 55kW,F10-A1-0.0-FRL,X,,,,GDK FUR 10 15kW,,,X,,,PEL,Pallet Elevator
VERTFLOW COOLING FAN F10-VCF-13-2,F10-A1-0.0-FRL,X,,,,CONVEYOR FEEDER 111kW,F10-A2-9.0-COE,,X,,,RFL,Left Rotary Filter Room
VERTFLOW COOLING FAN F10-VCF-13-1,F10-A1-0.0-FRL,X,,,,EMMETI PAL14 47kW,F10-A2-9.0-COE,,X,,,RFR,Right Rotary Filter Room
EMOC COOLING FAN F10-ECF-13-2,F10-A1-0.0-FRL,X,,,,MCAL-14.1 3.69kW,F10-A2-9.0-COE,X,X,,,RPL,Re-Paletizer
EMOC COOLING FAN F10-ECF-12-1 110kW,F10-A1-0.0-FRR,X,,,,MCAL-14.2 3.69kW,F10-A2-9.0-COE,X,X,,,RTR,Technical Room Richt Side
EMOC COOLING FAN F10-ECF-12-2 110kW,F10-A1-0.0-FRR,X,,,,MULTI-14.1 3.69kW,F10-A2-9.0-COE,X,X,,,STR,Safety Transformer Room
CONVEYOR COOLING FAN F10-CCF-11 55kW,F10-A1-0.0-FRR,X,,,,MULTI-14.2 3.69kW,F10-A2-9.0-COE,X,X,,,SWP,Shrinking Wrap Pallet
CONVEYOR COOLING FAN F10-CCF-11-12 55kW,F10-A1-0.0-FRR,X,,,,MX4-4-14.1 8.2kW,F10-A2-9.0-COE,X,X,,,UPS,UPS Room
CONVEYOR COOLING FAN F10-CCF-12-1 55kW,F10-A1-0.0-FRR,X,,,,MX4-4-14.2 8.2kW,F10-A2-9.0-COE,X,X,,,UTR,Utilities technical Room (Besides UT Workshop)
VERTFLOW COOLING FAN F10-VCF-11-2,F10-A1-0.0-FRR,X,,,,MX4-4-14.3 8.2kW,F10-A2-9.0-COE,X,X,,,UTW,Utilities workshop
VERTFLOW COOLING FAN F10-VCF-11-1,F10-A1-0.0-FRR,X,,,,MX4-4-14.4 8.2kW,F10-A2-9.0-COE,X,X,,,VCC,Vacuüm Corner
EMOC COOLING FAN F10-ECF-11-2 110kW,F10-A1-0.0-FRR,X,,,,CVCD-14.1 2.46kW,F10-A2-9.0-COE,,X,,,VPR,Vacuüm Panel Room
,,,,,,CVCD-14.2 2.46kW,F10-A2-9.0-COE,,X,,,,
Panel 1.2,Location,On Plan,Installed,,,RS AC 0.01 kW,F10-A2-9.0-COE,,X,,,,
TR-DP 1.2 400V/230V 50Hz,UTB-Y1-5.5-LVR,X,X,,,PAL AC0.01kW,F10-A2-9.0-COE,,X,,,,
F1-MDP-8 400V/230V ,F10-A2-5.5-UPS,X,X,,,CONVEYOR FEEDER 111kW,F10-A2-9.0-COE,,X,,,,
BH-MDP 400V-230V 50Hz ,BAH-0.0-GPR,,X,,,EMMETI PAL13 477kW,F10-A2-9.0-COE,,X,,,,
CHEMICAL TREATMENT AREA 100kW,,,,,,MCAL_13.1 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-MZ-DP 400V/230V ,F10-A2-5.5-UPS,X,X,,,MCAL-13.2 3.69kW,F10-A2-9.0-COE,X,X,,,,
HOT10 400V/230V 50Hz ,F10-A2-5.5-UPS,X,,,,MULTI-13.1 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-UO-DP 400V230V 50Hz ,F10-A1-0.0-FPR,X,X,,,MULTI-13.2 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-GEN-DP 400V/230V 50 Hz ,F10-A2-0.0-UTR,X,,,,MX4-4-13.1 8.2kW,F10-A2-9.0-COE,X,X,,,,
F1-MCC.1,F10-A1-0.0-FUR,X,,,,MX4-4-13.2 8.2kW,F10-A2-9.0-COE,X,X,,,,
7 BAR COMPRESSOR UT_COMP7-2 ZT355VSD+ 2X354.4A,UTB-Y3-0.0-CPH,X,,,,MX4-4-13.3 8.2kW,F10-A2-9.0-COE,X,X,,,,
TR-DP 1.2 PFC WITH HARMONIC FILTER 1500kVAr,UTB-Y1-5.5-LVR,X,X,,,MX4-4-13.4 8.2kW,F10-A2-9.0-COE,X,X,,,,
SAFETY PANEL 400V/230V,UTB-Y1-0.0-STR,X,,,,CVCD-13.1 2.46kW,F10-A2-9.0-COE,,X,,,,
F-1 SMOKE EXHAUST FAN 6X35kW F1-FMCC1,,,,,,CVCD-13.2 2.46kW,F10-A2-9.0-COE,,X,,,,
F-1 EMERGENCY LIFT PANEL-7 F1-LP7,,,,,,RS AC 0.01 kW,F10-A2-9.0-COE,,X,,,,
UTILITY EMERGENCY LIFT PANEL-4 UT-LP4,UTB-Y1-0.0-CRR,X,X,,,PAL AC0.01kW,F10-A2-9.0-COE,,X,,,,
F-2 SMOKE EXHAUST FAN 6X35kW F2-FMCC1,,,,,,CONVEYOR FEEDER 111kW,F10-A2-9.0-COE,,X,,,,
F-2 EMERGENCY LIFT PANEL-7 F2-LP7,,,,,,EMMETI PAL12 47kW,F10-A2-9.0-COE,,X,,,,
UTILITY Smoke exhaust fan 4x15kW (UT-FMCC),UTB-Y1-5.5-LVR,,,,,MCAL_12.1 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-DPG.3 11.95kW,F10-A2-0.0-FLR,X,,,,MCAL-12.2 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-DPG.4 29.83kW,F10-A2-0.0-MLR,X,,,,MULTI-13.1 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-DPG.5 30.68kW,F10-A2-0.0-CNC,X,,,,MULTI-12.2 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-DPG.6 8.29kW,F10-A3-0.0-RPL,X,X,,,MX4-4-12.1 8.2kW,F10-A2-9.0-COE,X,X,,,,
F1-DPG.7 13.09kW,F10-A3-0.0-RPL,X,X,,,MX4-4-12.2 8.2kW,F10-A2-9.0-COE,X,X,,,,
UT-DP 75.11kW,F10-A2-0.0-UTW,X,,,,MX4-4-12.3 8.2kW,F10-A2-9.0-COE,X,X,,,,
MS-DP 2.77kW,F10-A2-0.0-MTR,X,,,,MX4-4-12.4 8.2kW,F10-A2-9.0-COE,X,X,,,,
F1-ADP 9.18kW,F10-A2-0.0-HSE,X,,,,CVCD-12.1 2.46kW,F10-A2-9.0-COE,,X,,,,
PW-DP 12.32kW,F10-A4-0.0-PEL,X,X,,,CVCD-12.2 2.46kW,F10-A2-9.0-COE,,X,,,,
F1-LP2 15.85kW,,,,,,RS AC 0.01 kW,F10-A2-9.0-COE,,X,,,,
F1-LP3 15.85kW,,,,,,PAL AC0.01kW,F10-A2-9.0-COE,,X,,,,
F1-LP4 15.85kW,,,,,,CONVEYOR FEEDER 111kW,F10-A2-9.0-COE,,X,,,,
F1-LP5 15.85kW,,,,,,EMMETI PAL12 47kW,F10-A2-9.0-COE,,X,,,,
F1-LP6 15.85Kw,,,,,,MCAL_12.1 3.69kW,F10-A2-9.0-COE,X,X,,,,
W1-LP1 15.85kW,,,,,,MCAL-12.2 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-MCC2 20.61kw,F10-A2-0.0-LTR,X,,,,MULTI-13.1 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-MCC3 20.61kW,F10-A2-0.0-RTR,X,,,,MULTI-12.2 3.69kW,F10-A2-9.0-COE,X,X,,,,
F1-MCC4 38.55kW,F10-A2-0.0-UTR,X,,,,MX4-4-12.1 8.2kW,F10-A2-9.0-COE,X,X,,,,
F1-DPG1 101.54kW,F10-A1-0.0-FPR,X,X,,,MX4-4-12.2 8.2kW,F10-A2-9.0-COE,X,X,,,,
F1-DPG2 58.12kW,F10-A1-0.0-FPL,X,X,,,MX4-4-12.3 8.2kW,F10-A2-9.0-COE,X,X,,,,
F1-FP 0.72kW,F10-A1-0.0-FCR,X,,,,MX4-4-12.4 8.2kW,F10-A2-9.0-COE,X,X,,,,
F1-LP1 15.85kW,,,,,,CVCD-12.1 2.46kW,F10-A2-9.0-COE,,X,,,,
CULLET10 CB-DP1 48.82kW,,,,,,CVCD-12.2 2.46kW,F10-A2-9.0-COE,,X,,,,
COOLING OVEN 1 67.24kW,,,,,,RS AC 0.01 kW,F10-A2-9.0-COE,,X,,,,
COOLING OVEN 2 67.24 kW,,,,,,PAL AC0.01kW,F10-A2-9.0-COE,,X,,,,
COOLING OVEN 3 67.24kW,,,,,,F1-DP2.1 18.78kW,F10-A1-9.0-FH4,X,X,,,,
COOLING OVEN  4 67.24kW,,,,,,F1-DP2.2 102.01kW,F10-A1-9.0-FH1,X,,,,,
F1-DP1.1 24.04kW,F10-A1-5.5-BMR,X,,,,F1-DP2.3 12.16kW,F10-A2-9.0-COE,X,,,,,
F1-DP1.2 20.23kW,F10-A1-5.5-BMR,X,,,,F1-DP2.4 18.61kW,F10-A2-9.0-COE,X,,,,,
F1-DP1.3 3.51kW,F10-A1-5.5-BTH,X,,,,F1-DP2.5 32.699kW,F10-A2-9.0-COE,X,,,,,
F1-DP1.4 25.76kW,F10-A2-5.5-UPS,X,,,,F1-DP2.6 32.69kW,F10-A2-9.0-COE,X,,,,,
F1-DP1.5 25.76kW,F10-A2-5.5-CRA,X,,,,F1-DP2.7 4.93kW,F10-A3-9.0-COE,X,,,,,
F1-DP1.6 27.15kW,F10-A2-5.5-CRA,X,,,,F1-DP2.8 6.12kW,F10-A3-9.0-COE,X,,,,,
FCP10.1 15kW,F10-A1-5.5-BMR,X,,,,F1-MCC5 6.10kW,F10-A2-9.0-COE,X,,,,,
FCP10.2 15kW,F10-A1-5.5-BMR,X,,,,F1-MCC6 4.70kW,F10-A2-9.0-COE,X,,,,,
RFP10.1 9.10kW,F10-A1-5.5-RFR,X,,,,RA-MCC 7.90kW,F10-A4-9.0-COE,X,,,,,
RFP10.2 9.10kW,F10-A1-5.5-RFL,X,,,,RA-DP 9.35kW,F10-A4-9.0-COE,X,,,,,
BH-UDP 400V/230V 50Hz ,BAH-12.0-CPC,,,Staat op 0.0,,F10-CRYN-05 14kW,,,X,Welke kraan waar,,,
BH-DP1 18.43kW,BAH-0.0,X,X,,,F10-CRYN-06 56kW,,,X,,,,
BH-DP2 18.99kW,BAH-5.1,X,X,,,F10-CRYN-07 56kW,,,X,,,,
BH-DP3 7.08kW,BAH-12.0,X,X,,,F10-CRYN-08 56kW,,,X,,,,
BH-DP4 23.76kW,BAH-17.5,X,X,,,F10-CRYN-09 56kW,,,X,,,,
BH-DP5 1.36kW,BAH-22.8,X,X,,,F10-CRYN-15 14kW,,,X,,,,
BH-DP6 1.36kW,BAH-27.8,X,X,,,F10-CRYN-17 14kW,,,X,,,,
BH-DP7 46.62kW,BAH-32.5,,,,,F10-CRYN-18 14kW,,,X,,,,
BH-LP1 15.81kW,,,,,,F10-CRYN-19 14kW,,,X,,,,
EXL-DP3 4.67kW,,,,,,F10-CRYN-20 14kW,,,X,,,,
LAHTI MCC01 160kW,BAH-12.0-CPC,X,X,,,F10-CRYN-41 14kW,,,X,,,,
LAHTI MCC02 77kW,BAH-12.0-CPC,X,X,,,F10-CRYN-42 14kW,,,X,,,,
LAHTI MCC03 77kW,BAH-12.0-CPC,X,X,,,TWP-10 89.60kW,,X,X,,,,
LAHTI MCC04 208kW,BAH-12.0-CPC,X,X,,,BWP-10 58.20kW,,X,X,,,,
LAHTI MCC05 82kW,BAH-12.0-CPC,X,X,,,F1-OC-UDP (OVEN COMMAND) 92.80kW,UTB-Y1-9.0-BFC,X,,,,,
GAS-UP 25kW,,,,,,F10 CULLET BUILDING LAHTI-MCC.06 84.88kW,F10-A1-0.0-LCR,X,X,,,,
COMMAND PANEL 12kW,,,,,,TC10.1 400V/230V 50Hz,F10-A1-9.0-FPF,X,X,,,,
BH-UP1 5.70kW,,,,,,TC10.2 400V/230V 50Hz,F10-A1-9.0-FPF,X,X,,,,
F1-HP-1 (F10-PDC700-1) 90kW,F10-A1-5.5-BTR,X,X,,,CAF10.1 400V/230V 50Hz,F10-A1-9.0-FPF,X,X,,,,
F1-HP-2 (F10-PDC700-1) 90kW,F10-A1-5.5-BTR,X,X,,,CAF10.2 400V/230V 50Hz,F10-A1-9.0-FPF,X,X,,,,
F1-HP-3 (F10-PDC700-3) 90kW,F10-A1-5.5-BTR,X,X,,,WE&FH10.1 400V/230V 50Hz,F10-A1-9.0-FUR,X,,,,,
F1-HP-4 (F10-PDC700-4) 90kW,F10-A1-5.5-BTR,X,X,,,WE&FH10.2 400V/230V 50Hz,F10-A1-9.0-FUR,X,,,,,
,,,,,,WE&FH10.3 400V/230V 50Hz,F10-A1-9.0-FUR,X,,,,,
,,,,,,WE&FH10.4 400V/230V 50Hz,F10-A1-9.0-FUR,X,,,,,
,,,,,,F1-FU-MCC 150kW,F10-A1-0.0-FCR,X,,,,,
,,,,,,F1-COLD-UDP 43.60kW,F10-A2-5.5-CRA,X,,,,,
,,,,,,F1-HOT-UDP 96kW,,,,,,,
,,,,,,F1-GEN-UP 400V/230V 50Hz,F10-A2-0.0-UTR,X,,,,,
,,,,,,F1-UPG.1 6.60kW,,,,,,,
,,,,,,F1-UPG.2 4.20kW,F10-A1-0.0-FPL,X,,,,,
,,,,,,F10 CULLET BUILDING LAHTI-MCC.07 201.61kW,F10-A1-0.0-LCR,X,X,,,,
,,,,,,GAS-UP 25kW,,,,,,,
,,,,,,F1-UP1.1 9.20kW,F10-A2-5.5-UPS,X,,,,,
,,,,,,UT-MCC.2 607.04kW,UTB-Y3-5.5-FSS,X,,,,,
,,,,,,F1-UP2.1 1.00kW,F10-A1-9.0-FH4,X,X,,,,
,,,,,,F1-UP2.2 1.00kW,F10-A1-9.0-FH1,X,,,,,
,,,,,,F1-UP2.3 5.10kW,F10-A2-9.0-COE,X,,,,,
,,,,,,F1-MDP-5 400V/230V 50Hz,F10-A1-9.0-FPF,X,X,,,,
