Title,Project,TerminalBox,ItemID,ItemGroup,EquipmentClass,FunctionalRole,PhysicalRow,DrawingReference,Status,Found,LabelOK,CableMarkerOK,ContinuityOK,PEOK,LoopOK,Technician,CheckDate,Notes,PhotoURL,RelatedCable,RelatedLoop
TB120A_page97:MI5111-MS1,Batch House,TB120A,MI5111-MS1,power,PowerTerminal,power_reference,Upper middle row,8220 page 97,Not checked,false,false,false,false,false,false,,,,,,
TB120A_page97:MI5211-MS1,Batch House,TB120A,MI5211-MS1,power,PowerTerminal,power_reference,Upper middle row,8220 page 97,Not checked,false,false,false,false,false,false,,,,,,
TB120A_page97:MI5311-MS1,Batch House,TB120A,MI5311-MS1,power,PowerTerminal,power_reference,Field terminal row,8220 page 97,Not checked,false,false,false,false,false,false,,,,,,
"TB120A_page97:MCC6,",Batch House,TB120A,"MCC6,",power,PowerTerminal,power_reference,Field terminal row,8220 page 97,Not checked,false,false,false,false,false,false,,,,,,
"TB120A_page97:MCC7,",Batch House,TB120A,"MCC7,",power,PowerTerminal,power_reference,Lower IO row,8220 page 97,Not checked,false,false,false,false,false,false,,,,,,
TB120A_page2641:DCU7551A-K101,Batch House,TB120A,DCU7551A-K101,field,FieldTerminal,field_connection,Top row,8220 page 2641,Not checked,false,false,false,false,false,false,,,,,,
TB120A_page2641:DCU7552A-K101,Batch House,TB120A,DCU7552A-K101,field,FieldTerminal,field_connection,Top row,8220 page 2641,Not checked,false,false,false,false,false,false,,,,,,
TB120A_page2641:DCU7553A-K101,Batch House,TB120A,DCU7553A-K101,field,FieldTerminal,field_connection,Top row,8220 page 2641,Not checked,false,false,false,false,false,false,,,,,,
TB120A_page2641:DCU7554A-K101,Batch House,TB120A,DCU7554A-K101,field,FieldTerminal,field_connection,Top row,8220 page 2641,Not checked,false,false,false,false,false,false,,,,,,
TB120A_page2641:DCU7551A-CU1-F24,Batch House,TB120A,DCU7551A-CU1-F24,fuse,Fuse,supply_protection,Top row,8220 page 2641,Not checked,false,false,false,false,false,false,,,,,,
